date,FTSE_SA,top40,SWIX,USDZAR,10y_yield,10y_price,S&P_1500
2008/01/06,1629.39,24936.87,,6.7562,8.305,45.03134649,
2008/01/13,1584.5,24238.96,,7.069,8.28,45.13542426,
2008/01/20,1547.9,24192.11,,7.135,8.405,44.61766745,
2008/01/27,1641.62,26587.5,,7.3637,8.55,44.02523898,
2008/02/03,1574.59,25756.72,,7.786,8.755,43.20238001,
2008/02/10,1624.18,26249.04,,7.666,8.7,43.42147371,
2008/02/17,1691.31,27603.68,,7.7375,8.765,43.1626756,
2008/02/24,1749.76,28347.86,,7.825,8.975,42.33808623,
2008/03/02,1718.53,28580.35,,8.006,9.255,41.26546909,
2008/03/09,1744.02,28479.52,,7.9337,9.2,41.47377969,
2008/03/16,1647.23,26254.49,,8.1651,9.18,41.54981556,
2008/03/23,1714.91,27798.7,,8.1431,9.195,41.49277429,
2008/03/30,1733.81,28204.58,,7.8751,8.94,42.47430591,
2008/04/06,1771.48,29011.96,,7.821,9.225,41.37895,
2008/04/13,1778.74,29508.84,,7.785,9.215,41.41685322,
2008/04/20,1734.8,29039.34,,7.6166,9.37,40.83361962,
2008/04/27,1734.72,28675.37,,7.5836,9.45,40.53613531,
2008/05/04,1819.51,30127.72,,7.7351,9.45,40.53613531,
2008/05/11,1831.81,30704.81,,7.474,9.41,40.68457838,
2008/05/18,1840.12,30602.35,,7.6798,9.595,40.00300257,
2008/05/25,1780.05,29939.96,,7.6101,10.07,38.30983974,
2008/06/01,1772.69,29857.73,,7.8754,10.09,38.2402993,
2008/06/08,1717.68,29233.79,,8.1063,10.45,37.01202083,
2008/06/15,1646.1,28824.04,,7.9915,10.455,36.9952699,
2008/06/22,1667.8,28692.1,,7.9145,10.65,36.34844341,
2008/06/29,1555.07,26519.15,,7.728,10.485,36.89493927,
2008/07/06,1554.74,26074.78,,7.6588,10.555,36.66199643,
2008/07/13,1568.53,25765.64,,7.6046,9.865,39.03070532,
2008/07/20,1536.82,25099.29,,7.5924,9.615,39.93007428,
2008/07/27,1525.26,24565.63,,7.22,9.195,41.49277429,
2008/08/03,1534.85,24799.74,,7.7375,9.47,40.46213727,
2008/08/10,1569,25188.43,,7.8708,9.1,41.85549613,
2008/08/17,1542.56,25131.65,,7.6779,9.23,41.3600127,
2008/08/24,1596.27,25556.75,,7.7046,9.12,41.77884475,
2008/08/31,1510.86,23185.31,,7.9615,9.245,41.30325798,
2008/09/07,1518.68,23957.74,,7.9913,9.015,42.18299474,
2008/09/14,1492,23259.21,,7.92,8.96,42.39640716,
2008/09/21,1462.13,22376.84,,8.0751,8.805,43.00425883,
2008/09/28,1373.67,20523.64,,8.485,8.94,42.47430591,
2008/10/05,1262.46,18641.17,,9.4694,8.985,42.29925464,
2008/10/12,1200.43,18299.69,,10.05,9.28,41.17116315,
2008/10/19,1091.05,16723.79,,11.175,9.64,39.8391195,
2008/10/26,1271.64,19080.13,,9.78,9.1,41.85549613,
2008/11/02,1210.24,18122.37,,10.1562,8.62,43.74234035,
2008/11/09,1213.79,17492.7,,10.01,8.82,42.94501752,
2008/11/16,1140.84,16172.17,,10.47,8.3,45.05214091,
2008/11/23,1297.07,19346.28,,10.165,8.35,44.84467113,
2008/11/30,1214.54,17329.96,,10.288,8.165,45.61760221,
2008/12/07,1300.95,19415.17,,10.155,7.735,47.47137816,
2008/12/14,1319.51,19283.44,,9.7925,7.19,49.9410065,
2008/12/21,1318.19,18936.07,,9.72,7.32,49.33934276,
2008/12/28,1362.98,19683.94,,9.305,7.325,49.31636162,
2009/01/04,1392.12,20110.61,,9.784,7.615,48.00338905,
2009/01/11,1328.07,18971.79,,9.9835,7.855,46.94584585,
2009/01/18,1245.37,17526.02,,10.2135,7.86,46.92408799,
2009/01/25,1304.84,18519.77,,10.205,7.935,46.59904769,
2009/02/01,1325.07,19424.51,,9.565,8.08,45.97763623,
2009/02/08,1303.56,18590.3,,9.9324,8.475,44.33057985,
2009/02/15,1250.48,17464.05,,10.08,8.43,44.51490207,
2009/02/22,1201.51,16514.3,,10.105,8.56,43.98470195,
2009/03/01,1188.3,16812.21,,10.43,8.31,45.01056263,
2009/03/08,1242.64,17928.58,,9.975,8.195,45.49127274,
2009/03/15,1323.05,18886.45,,9.6,8.295,45.07294588,
2009/03/22,1332.66,18719.7,,9.5899,8.64,43.66187989,
2009/03/29,1345.46,19242.47,,9.051,8.495,44.24892849,
2009/04/05,1341.51,18980.37,,9.06,8.505,44.20816485,
2009/04/12,1323.18,18785.54,,8.928,8.275,45.15627154,
2009/04/19,1316.77,18601.76,,8.715,8.275,45.15627154,
2009/04/26,1313.33,18514.32,,8.42,8.49,44.26932581,
2009/05/03,1379.03,19695.22,,8.2751,8.405,44.61766745,
2009/05/10,1390.07,19617.46,,8.7055,8.695,43.44145184,
2009/05/17,1431.41,20310.65,,8.28,8.62,43.74234035,
2009/05/24,1439.56,20605.38,,7.939,8.83,42.90557319,
2009/05/31,1450.12,20946.42,,8.058,9.01,42.20234695,214.32
2009/06/07,1437.09,20683.3,,8.04,8.81,42.98450175,215.49
2009/06/14,1409.36,20191.49,,8.1,8.8,43.02402591,209.72
2009/06/21,1413.28,20099.47,,7.899,8.905,42.61100785,209.21
2009/06/28,1419.77,19985.52,,7.923,9.33,40.98326167,204.16
2009/07/05,1426.88,20063.31,,8.2375,9.195,41.49277429,199.98
2009/07/12,1488.2,21246.31,,8.0475,9.105,41.83631879,214.09
2009/07/19,1506,21579.75,,7.7495,9.095,41.87468313,223.25
2009/07/26,1506.7,21855.8,,7.761,8.875,42.7285662,225.22
2009/08/02,1558.07,22652.41,,7.9885,9,42.24108069,230.87
2009/08/09,1544.02,22431.66,,8.0875,8.72,43.34166218,229.18
2009/08/16,1558.36,22452.83,,7.81,8.635,43.68197973,234.25
2009/08/23,1588.52,22742.44,,7.7527,8.645,43.64179023,234.88
2009/08/30,1559.77,22222.96,,7.603,8.615,43.76248094,231.92
2009/09/06,1609.82,23005.09,,7.441,8.55,44.02523898,238.28
2009/09/13,1630.17,23190.01,,7.43,8.575,43.92397338,244.38
2009/09/20,1587.69,22318.14,,7.4112,8.785,43.08338712,238.65
2009/09/27,1554.2,21923.09,,7.6375,8.795,43.04380297,234.1
2009/10/04,1598.76,22726.69,,7.4035,8.935,42.49380519,245.04
2009/10/11,1616.38,23345.58,,7.35,9.145,41.68324759,248.52
2009/10/18,1647.29,24137.22,,7.4615,9.15,41.66415705,246.49
2009/10/25,1606.97,23655.66,,7.815,8.975,42.33808623,236.02
2009/11/01,1569.96,23336.95,,7.544,8.85,42.82680403,243.55
2009/11/08,1606.22,24074.94,,7.41,9.005,42.22170893,249
2009/11/15,1607.49,24338.36,,7.5995,8.96,42.39640716,248.23
2009/11/22,1597.52,24271.03,,7.41,9.08,41.93230223,248.04
2009/11/29,1624.24,24857.22,,7.44,9.01,42.20234695,251.83
2009/12/06,1633.05,24563.44,,7.5263,9.055,42.02852795,251.99
2009/12/13,1640.45,24777.5,,7.575,9.05,42.04780223,251.68
2009/12/20,1658.54,24969.9,,7.5315,9.08,41.93230223,257.58
2009/12/27,1668.62,24996.97,,7.389,9.045,42.06708623,254.79
2010/01/03,1682.35,25586.73,,7.3583,9.255,41.26546909,261.78
2010/01/10,1656.58,25278.6,,7.4115,9.26,41.24658891,259.64
2010/01/17,1622.33,24428.41,,7.6238,9.225,41.37895,249.83
2010/01/24,1619.91,24041.26,,7.6238,9.045,42.06708623,245.47
2010/01/31,1571.16,23111.25,,7.7535,9.04,42.08637996,243.6
2010/02/07,1597.11,23569.11,,7.71,9.005,42.22170893,246.25
2010/02/14,1637.69,24352.61,,7.6525,8.875,42.7285662,254.05
2010/02/21,1636.59,23994.59,,7.717,8.75,43.22224729,253.03
2010/02/28,1691.09,25058.42,,7.4035,8.755,43.20238001,261.33
2010/03/07,1707.58,25373.37,,7.3975,8.775,43.12301131,264.15
2010/03/14,1742.91,25667.58,,7.3343,8.72,43.34166218,266.2
2010/03/21,1724.1,25663.36,,7.4309,8.51,44.18779853,267.66
2010/03/28,1738.49,26113.3,,7.2463,8.43,44.51490207,270.33
2010/04/04,1770.82,26368.35,,7.2543,8.535,44.08612159,274.34
2010/04/11,1747.25,26058.05,,7.39,8.455,44.41239698,274.23
2010/04/18,1737.83,25906.7,,7.4186,8.43,44.51490207,280.56
2010/04/25,1748.91,25629.93,,7.3872,8.47,44.35101858,273.26
2010/05/02,1634.22,23598.02,,7.6593,8.93,42.51331432,255.26
2010/05/09,1691.21,24355.07,,7.5325,8.64,43.66187989,261.76
2010/05/16,1617.34,23349.1,,7.8548,8.835,42.88586598,250.35
2010/05/23,1690.51,24218.98,,7.6255,8.62,43.74234035,251.15
2010/05/30,1647.14,23604.51,,7.7923,8.775,43.12301131,245.08
2010/06/06,1648.08,23888.31,,7.68,8.72,43.34166218,251.31
2010/06/13,1713.43,24754.9,,7.5053,8.65,43.62171073,257.21
2010/06/20,1683.48,24263.82,,7.625,8.83,42.90557319,247.87
2010/06/27,1634.9,23355.16,,7.7365,8.675,43.52146554,235.14
2010/07/04,1689.31,24284.88,,7.5987,8.465,44.37146767,247.81
2010/07/11,1711.88,24465.49,,7.5967,8.48,44.31015148,244.55
2010/07/18,1760.93,25333.32,,7.44,8.45,44.43287721,253.75
2010/07/25,1749.29,25224.6,,7.2972,8.205,45.44924847,253.43
2010/08/01,1736.75,25172.71,,7.2259,8.345,44.86537074,257.78
2010/08/08,1703,24424.34,,7.3072,8.175,45.57544956,247.6
2010/08/15,1678.15,23921.25,,7.3227,7.865,46.90234122,246.14
2010/08/22,1670.23,23644.46,,7.3102,7.875,46.85888094,244.73
2010/08/29,1739.55,24825.46,,7.1867,7.965,46.46972571,254.06
2010/09/05,1748.76,24966.81,,7.1842,7.815,47.12030877,254.9
2010/09/12,1759.43,25258.33,,7.146,8.045,46.12679307,258.82
2010/09/19,1788.43,25521.12,,7.019,7.82,47.09846196,264.19
2010/09/26,1838.28,25982.05,,6.931,7.995,46.34079841,263.99
2010/10/03,1833.04,26393.16,,6.8399,7.985,46.38373041,268.22
2010/10/10,1850.28,26772.72,,6.8403,7.855,46.94584585,270.85
2010/10/17,1849.97,26763.73,,6.9337,8.005,46.29791012,272.4
2010/10/24,1860.92,27053.68,,6.9989,7.84,47.01118604,272.54
2010/10/31,1912.48,28048.91,,6.7755,7.695,47.647991,282.52
2010/11/07,1934.58,28253.76,,6.9665,7.835,47.03298833,276.43
2010/11/14,1921.12,27930.33,,6.99,7.885,46.81546495,276.74
2010/11/21,1896.64,27730.43,,7.143,8.345,44.86537074,275.05
2010/11/28,1915.59,27933.41,,6.8558,8.14,45.72317159,283.28
2010/12/05,1920.02,28050.46,,6.8638,8.21,45.42825235,287.06
2010/12/12,1924.57,28215.48,,6.8655,8.265,45.19799791,287.96
2010/12/19,1949.03,28582.68,,6.738,8.22,45.38629212,290.92
2010/12/26,1969.31,28639.4,,6.6195,8.135,45.7443177,290.89
2011/01/02,1949.45,28415.54,,6.8058,8.11,45.85020972,293.8
2011/01/09,1979.42,29226.96,,6.9315,8.395,44.65884665,299.03
2011/01/16,1937.46,28808.74,,7.0592,8.7,43.42147371,296.16
2011/01/23,1892.79,28232.1,,7.1775,8.665,43.56153317,294.91
2011/01/30,1947.21,29718.96,,7.2323,8.625,43.72220996,302.94
2011/02/06,1929.71,29813.43,,7.2725,8.5,44.2285415,307.61
2011/02/13,1934.14,29292.85,,7.1145,8.405,44.61766745,310.93
2011/02/20,1906.4,28803.79,,7.022,8.61,43.78263173,305.54
2011/02/27,1924.29,29178.12,,6.8848,8.745,43.24212461,305.99
2011/03/06,1886.99,28070.66,,6.89,8.795,43.04380297,301.88
2011/03/13,1837.77,27612.91,,6.997,8.785,43.08338712,296.4
2011/03/20,1906.83,28492.55,,6.8907,8.62,43.74234035,304.54
2011/03/27,1968.86,29175.56,,6.6978,8.615,43.76248094,309.34
2011/04/03,1978.06,29561.08,,6.657,8.425,44.5354343,308.14
2011/04/10,1923.55,29003.69,,6.797,8.445,44.45336783,306.22
2011/04/17,1953.32,29457.17,6761.75,6.7203,8.425,44.5354343,310.3
2011/04/24,1988.12,29564.28,6855.7,6.5719,8.44,44.47386884,316.45
2011/05/01,1919.53,28626.86,6662.87,6.705,8.385,44.70006767,310.62
2011/05/08,1907.64,28722.89,6653.4,7.0215,8.475,44.33057985,310.34
2011/05/15,1903.12,28552.45,6635.48,6.9156,8.35,44.84467113,309.13
2011/05/22,1935,29141.21,6745.82,6.9295,8.23,45.34437451,308.87
2011/05/29,1907.34,28258.28,6628.31,6.7137,8.185,45.53333975,301.42
2011/06/05,1882.5,27809.9,6565.91,6.8052,8.29,45.09376143,294.34
2011/06/12,1853.19,27324.34,6472.58,6.763,8.405,44.61766745,294.55
2011/06/19,1844.15,27391.89,6455.95,6.9,8.335,44.9068015,294.45
2011/06/26,1910.78,28578.56,6702.84,6.73,8.41,44.59709352,310.88
2011/07/03,1905.49,28623.01,6704.63,6.7095,8.27,45.17712943,312.14
2011/07/10,1942.96,28915.93,6778.72,6.8855,8.38,44.72069386,305.43
2011/07/17,1913.5,28664.52,6706.2,6.7739,8.24,45.30249949,311.9
2011/07/24,1875.68,27857.91,6575.7,6.6925,8.24,45.30249949,299.29
2011/07/31,1795.97,25993.94,6214.39,6.9256,7.985,46.38373041,276.7
2011/08/07,1828.02,26626.27,6304.51,7.1814,8.05,46.1054524,272.24
2011/08/14,1820.41,26145.28,6249.07,7.18,7.625,47.95880525,258.89
2011/08/21,1810.28,26200.73,6244.34,7.147,7.743,47.43614207,271.57
2011/08/28,1895.42,27179.73,6499.5,7.0599,7.67,47.75874099,270.82
2011/09/04,1898.47,27114.18,6484.68,7.2855,7.63,47.93653042,266.42
2011/09/11,1917.46,27726.22,6577.4,7.492,7.925,46.64224294,280.66
2011/09/18,1849.36,26834.39,6331.68,8.12,8.34,44.88608086,261.72
2011/09/25,1853.11,26375.82,6323.4,8.0963,8.27,45.17712943,260.28
2011/10/02,1857.03,27001.46,6399.53,7.995,8.09,45.9351175,265.87
2011/10/09,1891.23,27839.76,6546.67,7.832,8.02,46.23365954,282.19
2011/10/16,1905.98,28165.61,6605.39,8.04,7.97,46.44821046,285.13
2011/10/23,1997.98,29566.8,6878.47,7.726,7.795,47.20780758,296.65
2011/10/30,1961.97,28553.6,6707.02,7.9055,7.83,47.05480174,289.68
2011/11/06,1978.33,28888.5,6768.08,7.8925,7.885,46.81546495,291.66
2011/11/13,1955.02,28431.41,6688.48,8.205,7.99,46.36225894,280.71
2011/11/20,1920.3,27770.91,6564.14,8.5224,8.125,45.78664219,267.08
2011/11/27,2006.8,29187.83,6857.94,8.0601,7.725,47.51546376,287.3
2011/12/04,2017.31,29169.61,6892.85,8.098,7.975,46.42670616,289.78
2011/12/11,1965.95,28556.63,6761.67,8.3823,8.145,45.70203623,281.48
2011/12/18,1981.38,28641.11,6798.3,8.156,7.93,46.62063981,291.96
2011/12/25,1982.78,28469.81,6800.37,8.0899,7.93,46.62063981,290.12
2012/01/01,2013.21,29209.6,6916.82,8.1842,8.045,46.12679307,294.69
2012/01/08,2010.8,29333.57,6932.16,8.1376,8.035,46.16950702,297.57
2012/01/15,2058.24,30116.4,7094.78,7.9337,7.92,46.66385709,303.86
2012/01/22,2059.81,30324.28,7104.07,7.7597,7.705,47.60377013,304.51
2012/01/29,2088.94,30718.49,7228.18,7.5388,7.69,47.67011838,311.58
2012/02/05,2070.9,30210.44,7152.31,7.7675,7.885,46.81546495,310.67
2012/02/12,2077.78,30373.15,7198.8,7.734,7.8,47.18591614,315.22
2012/02/19,2102.05,30560.09,7261.87,7.5875,7.86,46.92408799,316.11
2012/02/26,2112.68,30406.84,7300.19,7.5173,7.895,46.7720932,316.34
2012/03/04,2102.51,30100.61,7276.53,7.551,7.845,46.98939487,316.99
2012/03/11,2096.63,30398.29,7308.03,7.56,7.965,46.46972571,324.4
2012/03/18,2074.73,29716.93,7204.7,7.681,7.985,46.38373041,322.7
2012/03/25,2081.85,29603.42,7224.89,7.6725,7.875,46.85888094,325.15
2012/04/01,2079.97,29754.87,7251.53,7.8812,7.995,46.34079841,322.62
2012/04/08,2072.97,29721.32,7242.18,7.9482,7.935,46.59904769,316.13
2012/04/15,2094.98,30185.77,7355.38,7.8122,7.62,47.98109145,318.24
2012/04/22,2101.47,30247.51,7352.7,7.7445,7.68,47.71440705,324.2
2012/04/29,2112.71,30065.47,7372.79,7.83,7.535,48.36170522,315.9
2012/05/06,2100.87,30076.45,7329.53,8.0962,7.715,47.5595944,312.66
2012/05/13,2054.41,29212.42,7142.2,8.3381,7.645,47.86977421,298.68
2012/05/20,2058.9,29074.19,7120.63,8.405,7.655,47.82532689,304.27
2012/05/27,2085.28,29161,7164.66,8.58,7.735,47.47137816,294.74
2012/06/03,2105.32,29705.42,7277.27,8.3873,7.65,47.84754487,305.64
2012/06/10,2120.46,29977.28,7334.11,8.3541,7.53,48.38419747,308.97
2012/06/17,2126.58,30025.43,7409.79,8.4049,7.315,49.36233567,307.29
2012/06/24,2085.79,29638.01,7303.86,8.165,7.23,49.75502401,313.85
2012/07/01,2124.01,30056.92,7441.82,8.2591,7.14,50.1745608,312.56
2012/07/08,2097.53,29663.61,7360.95,8.266,6.97,50.97767709,312.83
2012/07/15,2118.14,30074.29,7454.35,8.2875,6.505,53.2475994,313.86
2012/07/22,2166.34,30508.18,7552.99,8.155,6.55,53.02314204,318.93
2012/07/29,2212.48,30981.21,7702.16,8.15,6.545,53.04803027,319.78
2012/08/05,2203.68,31330.12,7714.55,8.11,6.75,52.03806785,323.46
2012/08/12,2189.8,31376.13,7672.94,8.3345,6.965,51.00151124,326.63
2012/08/19,2214.34,31567.19,7753.46,8.4015,6.835,51.62552207,324.86
2012/08/26,2191.03,31172.74,7702.34,8.4,6.745,52.06244793,324.01
2012/09/02,2205.41,31530.8,7728.97,8.1709,6.6,52.77496489,331.68
2012/09/09,2219.06,32328.83,7828.3,8.205,6.775,51.91635567,338.24
2012/09/16,2228.68,31934.87,7814.73,8.277,6.6,52.77496489,336.36
2012/09/23,2220.37,31518.32,7751.9,8.3111,6.54,53.07293136,331.68
2012/09/30,2220.42,32361.91,7843.16,8.7792,6.73,52.1356636,336.06
2012/10/07,2224.8,32276.07,7826,8.7315,6.73,52.1356636,328.62
2012/10/14,2236.76,32609.75,7896.8,8.6612,6.615,52.70076113,329.89
2012/10/21,2248.87,32719.1,7922.95,8.6431,6.685,52.35599101,325.11
2012/10/28,2297.06,33512.89,8077.61,8.77,6.66,52.47883756,325.99
2012/11/04,2306.38,33122.46,8070.79,8.7095,6.625,52.65135571,318.27
2012/11/11,2273.22,32612.45,7975.75,8.8766,6.665,52.4542429,313.49
2012/11/18,2296.75,33634.44,8115.48,8.877,6.695,52.306941,324.94
2012/11/25,2295.22,33872.69,8140.02,8.9036,6.67,52.42966093,326.84
2012/12/02,2318.25,33909.68,8217.73,8.6547,6.525,53.14771179,327.29
2012/12/09,2344.72,34277.21,8316.4,8.616,6.475,53.39781822,326.33
2012/12/16,2386.21,34727.3,8432.11,8.5885,6.345,54.0541751,330.62
2012/12/23,2418.04,34930.61,8503.25,8.48,6.375,53.90192421,324.28
2012/12/30,2459.36,35775.9,8679.97,8.5676,6.485,53.34769354,339.34
2013/01/06,2430.04,35792.52,8643.66,8.72,6.365,53.95262203,340.51
2013/01/13,2409.37,35723.78,8583.54,8.8805,6.395,53.80068571,343.97
2013/01/20,2427.4,36064.38,8661.16,8.945,6.495,53.29762062,348.25
2013/01/27,2401.24,36219.07,8615.83,8.84,6.485,53.34769354,350.49
2013/02/03,2436.69,36477.46,8703.05,8.8823,6.415,53.69965633,351.73
2013/02/10,2412.13,36242.86,8657.85,8.855,6.455,53.49822305,352.39
2013/02/17,2361.94,35249.89,8494.82,8.865,6.395,53.80068571,351.12
2013/02/24,2396.65,35653.81,8609.26,9.0642,6.495,53.29762062,351.5
2013/03/03,2435.52,36168.65,8737.34,9.0892,6.49,53.32265062,359.43
2013/03/10,2394.61,36226.72,8653.17,9.1857,6.49,53.32265062,361.8
2013/03/17,2360.77,35493.62,8540.45,9.3005,6.6,52.77496489,360.89
2013/03/24,2366.26,35259.1,8533.4,9.2363,6.515,53.19762981,363.84
2013/03/31,2283.23,33920.57,8254.62,9.0975,6.32,54.18141223,359.46
2013/04/07,2301.95,33990.33,8315.44,8.9437,6.215,54.7194175,367.62
2013/04/14,2288.95,33842.23,8287.57,9.2254,6.14,55.1073043,359.63
2013/04/21,2308.22,34427.08,8394.18,9.1028,6.11,55.26330506,365.96
2013/04/28,2352.51,34963.97,8530.37,8.9102,5.88,56.47557661,373.47
2013/05/05,2384.26,35579.82,8658.66,9.1231,5.835,56.71616517,378.39
2013/05/12,2429.44,36771.8,8873.73,9.4041,6.235,54.61648893,386.15
2013/05/19,2391.08,36444.22,8755.67,9.5762,6.545,53.04803027,381.7
2013/05/26,2439.2,37599.86,8913.43,10.0915,7.18,49.98762152,377.72
2013/06/02,2350.74,36345.72,8644.34,9.9631,7.595,48.09269351,380.27
2013/06/09,2324.02,35937.44,8538.73,9.945,7.515,48.45174328,376.55
2013/06/16,2257.62,34670.34,8292.55,10.1601,7.9,46.75042391,368.44
2013/06/23,2367.32,35051.49,8544.32,9.88,7.58,48.15979178,372.07
2013/06/30,2319.64,34684.53,8433.07,10.206,7.76,47.36136087,378.39
2013/07/07,2413.84,36227.27,8746.3,9.9834,7.7,47.62587492,389.57
2013/07/14,2370.97,36029.71,8657.34,9.8705,7.58,48.15979178,392.5
2013/07/21,2369.56,36026.19,8640.04,9.78,7.88,46.83716741,392.21
2013/07/28,2438.64,37218.32,8895.29,9.835,7.81,47.14216674,396.73
2013/08/04,2430.44,37314.01,8889.56,9.8163,7.845,46.98939487,392.5
2013/08/11,2497.72,38623.63,9113.67,10.0901,8.01,46.27648236,384.09
2013/08/18,2488.76,38652.12,9093.94,10.2405,8.26,45.21887699,386.17
